,hospital,school,supermarket
2021-01-02 14:00:00,682.43,369.54,502.85
2021-01-02 14:15:00,681.9024999999999,367.69500000000005,500.7375
2021-01-02 14:30:00,681.375,365.85,498.625
2021-01-02 14:45:00,680.8475000000001,364.005,496.5125
2021-01-02 15:00:00,680.32,362.16,494.4
2021-01-02 15:15:00,681.9000000000001,363.555,499.55999999999995
2021-01-02 15:30:00,683.48,364.95000000000005,504.71999999999997
2021-01-02 15:45:00,685.06,366.345,509.88
2021-01-02 16:00:00,686.64,367.74,515.04
2021-01-02 16:15:00,686.5775,351.61,520.2425
2021-01-02 16:30:00,686.515,335.48,525.4449999999999
2021-01-02 16:45:00,686.4525,319.35,530.6475
2021-01-02 17:00:00,686.39,303.22,535.85
2021-01-02 17:15:00,610.4375,303.225,527.335
2021-01-02 17:30:00,534.485,303.23,518.82
2021-01-02 17:45:00,458.53249999999997,303.235,510.305
2021-01-02 18:00:00,382.58,303.24,501.79
2021-01-02 18:15:00,379.90999999999997,303.3325,491.83750000000003
2021-01-02 18:30:00,377.24,303.425,481.885
2021-01-02 18:45:00,374.57,303.51750000000004,471.9325
2021-01-02 19:00:00,371.9,303.61,461.98
2021-01-02 19:15:00,332.53249999999997,303.605,443.63750000000005
2021-01-02 19:30:00,293.16499999999996,303.6,425.295
2021-01-02 19:45:00,253.7975,303.59499999999997,406.9525
2021-01-02 20:00:00,214.43,303.59,388.61
2021-01-02 20:15:00,204.66750000000002,237.25,344.79
2021-01-02 20:30:00,194.905,170.91,300.97
2021-01-02 20:45:00,185.14249999999998,104.57,257.15
2021-01-02 21:00:00,175.38,38.23,213.33
2021-01-02 21:15:00,151.89,40.3575,165.96
2021-01-02 21:30:00,128.4,42.485,118.59
2021-01-02 21:45:00,104.91,44.6125,71.22
2021-01-02 22:00:00,81.42,46.74,23.85
2021-01-02 22:15:00,82.9825,48.2275,61.7725
2021-01-02 22:30:00,84.545,49.715,99.695
2021-01-02 22:45:00,86.1075,51.2025,137.6175
2021-01-02 23:00:00,87.67,52.69,175.54
2021-01-02 23:15:00,84.48,51.415,152.0425
2021-01-02 23:30:00,81.28999999999999,50.14,128.545
2021-01-02 23:45:00,78.1,48.865,105.0475
2021-01-03 00:00:00,74.91,47.59,81.55
2021-01-03 00:15:00,74.975,48.462500000000006,81.7475
2021-01-03 00:30:00,75.03999999999999,49.335,81.945
2021-01-03 00:45:00,75.105,50.207499999999996,82.1425
2021-01-03 01:00:00,75.17,51.08,82.34
2021-01-03 01:15:00,74.5025,52.315,84.45750000000001
2021-01-03 01:30:00,73.83500000000001,53.55,86.575
2021-01-03 01:45:00,73.1675,54.785000000000004,88.6925
2021-01-03 02:00:00,72.5,56.02,90.81
2021-01-03 02:15:00,71.3875,57.2325,85.9075
2021-01-03 02:30:00,70.275,58.445,81.005
2021-01-03 02:45:00,69.1625,59.6575,76.1025
2021-01-03 03:00:00,68.05,60.87,71.2
2021-01-03 03:15:00,99.35249999999999,60.4375,89.46000000000001
2021-01-03 03:30:00,130.655,60.004999999999995,107.72
2021-01-03 03:45:00,161.95749999999998,59.5725,125.98
2021-01-03 04:00:00,193.26,59.14,144.24
2021-01-03 04:15:00,198.1575,60.015,145.24
2021-01-03 04:30:00,203.055,60.89,146.24
2021-01-03 04:45:00,207.9525,61.765,147.24
2021-01-03 05:00:00,212.85,62.64,148.24
2021-01-03 05:15:00,279.6625,73.14750000000001,174.7075
2021-01-03 05:30:00,346.475,83.655,201.175
2021-01-03 05:45:00,413.2875,94.1625,227.6425
2021-01-03 06:00:00,480.1,104.67,254.11
2021-01-03 06:15:00,515.3625,151.0325,247.4675
2021-01-03 06:30:00,550.625,197.39499999999998,240.825
2021-01-03 06:45:00,585.8875,243.7575,234.1825
2021-01-03 07:00:00,621.15,290.12,227.54
2021-01-03 07:15:00,628.5325,310.0025,275.6225
2021-01-03 07:30:00,635.915,329.885,323.705
2021-01-03 07:45:00,643.2974999999999,349.7675,371.7875
2021-01-03 08:00:00,650.68,369.65,419.87
2021-01-03 08:15:00,655.06,369.6225,447.9275
2021-01-03 08:30:00,659.44,369.595,475.985
2021-01-03 08:45:00,663.82,369.5675,504.0425
2021-01-03 09:00:00,668.2,369.54,532.1
2021-01-03 09:15:00,667.995,370.8075,527.865
2021-01-03 09:30:00,667.79,372.07500000000005,523.63
2021-01-03 09:45:00,667.585,373.34250000000003,519.395
2021-01-03 10:00:00,667.38,374.61,515.16
2021-01-03 10:15:00,667.7825,374.805,534.6225
2021-01-03 10:30:00,668.185,375.0,554.085
2021-01-03 10:45:00,668.5875,375.195,573.5475
2021-01-03 11:00:00,668.99,375.39,593.01
2021-01-03 11:15:00,659.62,375.15749999999997,581.315
2021-01-03 11:30:00,650.25,374.92499999999995,569.62
2021-01-03 11:45:00,640.88,374.6925,557.925
2021-01-03 12:00:00,631.51,374.46,546.23
2021-01-03 12:15:00,639.2275,373.06,544.5350000000001
2021-01-03 12:30:00,646.9449999999999,371.65999999999997,542.84
2021-01-03 12:45:00,654.6625,370.26,541.145
2021-01-03 13:00:00,662.38,368.86,539.45
2021-01-03 13:15:00,662.4825,368.855,536.955
2021-01-03 13:30:00,662.585,368.85,534.46
2021-01-03 13:45:00,662.6875,368.84499999999997,531.965
2021-01-03 14:00:00,662.79,368.84,529.47
2021-01-03 14:15:00,663.0825,367.04249999999996,527.3
2021-01-03 14:30:00,663.375,365.245,525.13
2021-01-03 14:45:00,663.6675,363.4475,522.96
2021-01-03 15:00:00,663.96,361.65,520.79
2021-01-03 15:15:00,668.0375,363.075,525.845
2021-01-03 15:30:00,672.115,364.5,530.9
2021-01-03 15:45:00,676.1925,365.925,535.9549999999999
2021-01-03 16:00:00,680.27,367.35,541.01
2021-01-03 16:15:00,683.485,351.2075,545.9275
2021-01-03 16:30:00,686.7,335.065,550.845
2021-01-03 16:45:00,689.915,318.9225,555.7624999999999
2021-01-03 17:00:00,693.13,302.78,560.68
2021-01-03 17:15:00,620.89,302.84,551.0699999999999
2021-01-03 17:30:00,548.65,302.9,541.46
2021-01-03 17:45:00,476.41,302.96,531.85
2021-01-03 18:00:00,404.17,303.02,522.24
2021-01-03 18:15:00,403.7075,303.06,508.25
2021-01-03 18:30:00,403.245,303.1,494.26
2021-01-03 18:45:00,402.7825,303.14,480.27
2021-01-03 19:00:00,402.32,303.18,466.28
2021-01-03 19:15:00,364.99,303.195,447.29499999999996
2021-01-03 19:30:00,327.65999999999997,303.21000000000004,428.30999999999995
2021-01-03 19:45:00,290.33,303.225,409.325
2021-01-03 20:00:00,253.0,303.24,390.34
2021-01-03 20:15:00,243.18,237.09,346.30499999999995
2021-01-03 20:30:00,233.36,170.94,302.27
2021-01-03 20:45:00,223.54,104.78999999999999,258.235
2021-01-03 21:00:00,213.72,38.64,214.2
2021-01-03 21:15:00,188.3775,38.3425,165.49
2021-01-03 21:30:00,163.035,38.045,116.78
2021-01-03 21:45:00,137.6925,37.7475,68.07
2021-01-03 22:00:00,112.35,37.45,19.36
2021-01-03 22:15:00,111.7375,39.917500000000004,53.245000000000005
2021-01-03 22:30:00,111.125,42.385000000000005,87.13000000000001
2021-01-03 22:45:00,110.5125,44.8525,121.01500000000001
2021-01-03 23:00:00,109.9,47.32,154.9
2021-01-03 23:15:00,105.94500000000001,47.49,141.26500000000001
2021-01-03 23:30:00,101.99000000000001,47.66,127.63
2021-01-03 23:45:00,98.035,47.83,113.995
2021-01-04 00:00:00,94.08,48.0,100.36
2021-01-04 00:15:00,94.1375,48.92,96.68
2021-01-04 00:30:00,94.195,49.84,93.0
2021-01-04 00:45:00,94.2525,50.76,89.32
2021-01-04 01:00:00,94.31,51.68,85.64
2021-01-04 01:15:00,94.3775,51.065,78.755
2021-01-04 01:30:00,94.445,50.45,71.87
2021-01-04 01:45:00,94.5125,49.835,64.985
2021-01-04 02:00:00,94.58,49.22,58.1
2021-01-04 02:15:00,94.2975,51.8925,64.9275
2021-01-04 02:30:00,94.015,54.565,71.755
2021-01-04 02:45:00,93.7325,57.2375,78.5825
2021-01-04 03:00:00,93.45,59.91,85.41
2021-01-04 03:15:00,123.0275,58.815,89.3425
2021-01-04 03:30:00,152.605,57.72,93.275
2021-01-04 03:45:00,182.1825,56.625,97.2075
2021-01-04 04:00:00,211.76,55.53,101.14
2021-01-04 04:15:00,214.1075,57.375,94.65
2021-01-04 04:30:00,216.45499999999998,59.22,88.16
2021-01-04 04:45:00,218.8025,61.065,81.67
2021-01-04 05:00:00,221.15,62.91,75.18
2021-01-04 05:15:00,285.31,73.3,108.73
2021-01-04 05:30:00,349.47,83.69,142.28
2021-01-04 05:45:00,413.63,94.08,175.82999999999998
2021-01-04 06:00:00,477.79,104.47,209.38
2021-01-04 06:15:00,509.27500000000003,150.9525,207.4375
2021-01-04 06:30:00,540.76,197.435,205.495
2021-01-04 06:45:00,572.245,243.9175,203.5525
2021-01-04 07:00:00,603.73,290.4,201.61
2021-01-04 07:15:00,612.5175,310.2175,254.885
2021-01-04 07:30:00,621.3050000000001,330.03499999999997,308.15999999999997
2021-01-04 07:45:00,630.0925,349.8525,361.435
2021-01-04 08:00:00,638.88,369.67,414.71
2021-01-04 08:15:00,648.06,369.66,440.49
2021-01-04 08:30:00,657.24,369.65,466.27
